"height" "height_class" "id"
180 "tall" 1
162 "small" 2
178 "medium" 3
185 "tall" 4
182.88 "tall" 5
173 "medium" 6
190 "tall" 7
173 "medium" 8
162.56 "small" 9
190.5 "tall" 10
162.56 "small" 13
177.8 "medium" 15
170 "medium" 16
175.26 "medium" 17
183 "tall" 18
165 "small" 19
182.88 "tall" 20
190.5 "tall" 21
190.5 "tall" 22
180 "tall" 23
165.1 "small" 24
157 "small" 25
185.42 "tall" 26
162.56 "small" 27
155 "small" 28
167.64 "small" 29
163 "small" 30
180.34 "tall" 31
178 "medium" 32
170.18 "medium" 33
186 "tall" 34
193 "tall" 36
177 "medium" 37
179 "tall" 38
167.64 "small" 39
157.48 "small" 40
183 "tall" 41
193.04 "tall" 42
178 "medium" 44
182.88 "tall" 45
170.18 "medium" 46
188 "tall" 49
170.18 "medium" 50
180.34 "tall" 51
167.64 "small" 52
166 "small" 54
165.1 "small" 55
184 "tall" 56
172 "medium" 57
188 "tall" 58
174 "medium" 59
188 "tall" 60
178 "medium" 61
168.91 "medium" 62
173 "medium" 63
170.18 "medium" 64
162 "small" 65
162.56 "small" 66
176 "medium" 67
169 "medium" 69
185.42 "tall" 70
175 "medium" 71
165.1 "small" 72
162.56 "small" 73
164 "small" 74
186 "tall" 75
168 "small" 76
160.02 "small" 77
168 "small" 78
160.02 "small" 79
170 "medium" 80
187 "tall" 82
167.64 "small" 83
180.34 "tall" 84
155 "small" 85
165.1 "small" 87
173 "medium" 88
184 "tall" 89
169 "medium" 90
151 "small" 91
180 "tall" 92
172.72 "medium" 93
188 "tall" 94
157 "small" 95
160.02 "small" 96
168 "small" 97
162.56 "small" 99
177.8 "medium" 100
177.8 "medium" 101
160.02 "small" 102
172.72 "medium" 103
182 "tall" 104
160 "small" 105
193 "tall" 106
173 "medium" 107
160 "small" 111
192 "tall" 112
169 "medium" 113
157.48 "small" 114
187 "tall" 115
182 "tall" 116
142.24 "small" 117
180 "tall" 118
169 "medium" 119
160.02 "small" 120
179 "tall" 121
156 "small" 122
183 "tall" 123
164 "small" 125
172.72 "medium" 126
187 "tall" 127
153 "small" 128
177.8 "medium" 129
164 "small" 130
172.72 "medium" 131
181 "tall" 133
171 "medium" 134
163 "small" 135
182 "tall" 136
193 "tall" 137
156 "small" 138
170.18 "medium" 139
165.1 "small" 140
172.72 "medium" 142
188 "tall" 143
185 "tall" 144
158 "small" 145
180 "tall" 146
178 "medium" 147
185.42 "tall" 148
152 "small" 149
183 "tall" 150
162 "small" 151
182 "tall" 152
180 "tall" 153
176 "medium" 154
170 "medium" 155
183 "tall" 156
170.18 "medium" 158
183 "tall" 159
182 "tall" 160
186 "tall" 161
175 "medium" 163
179 "tall" 164
172.72 "medium" 165
170 "medium" 166
165.1 "small" 167
164 "small" 168
185.42 "tall" 169
170.18 "medium" 170
167.64 "small" 171
182 "tall" 172
160.02 "small" 173
183 "tall" 174
170 "medium" 175
165.1 "small" 176
173 "medium" 177
188 "tall" 179
178 "medium" 180
183 "tall" 181
162.56 "small" 182
180 "tall" 183
185.42 "tall" 184
184 "tall" 185
180 "tall" 186
178 "medium" 189
160 "small" 190
183 "tall" 191
160 "small" 192
185.42 "tall" 193
185 "tall" 194
187 "tall" 195
170 "medium" 197
180.34 "tall" 198
180 "tall" 200
169 "medium" 201
187 "tall" 202
190.5 "tall" 204
162 "small" 206
186 "tall" 207
195.58 "tall" 208
170.18 "medium" 209
185.42 "tall" 210
188 "tall" 212
158 "small" 213
167.64 "small" 214
165 "small" 216
172 "medium" 217
175.26 "medium" 218
160 "small" 219
172.72 "medium" 220
178 "medium" 221
167 "small" 222
165 "small" 224
185.42 "tall" 225
176 "medium" 227
160.02 "small" 228
177.8 "medium" 229
170 "medium" 230
188 "tall" 232
165 "small" 234
160 "small" 235
177 "medium" 236
167 "small" 237
180 "tall" 238
169 "medium" 239
162 "small" 242
167.64 "small" 243
193 "tall" 244
157 "small" 245
173 "medium" 248
169 "medium" 249
175.26 "medium" 250
194 "tall" 251
175 "medium" 252
177.8 "medium" 254
164 "small" 255
180 "tall" 256
176 "medium" 257
170 "medium" 261
181 "tall" 263
198 "tall" 264
172.72 "medium" 265
162.56 "small" 266
158 "small" 267
177.8 "medium" 268
183 "tall" 269
152.4 "small" 270
192 "tall" 271
157.48 "small" 273
169 "medium" 274
178 "medium" 275
168 "small" 276
152.4 "small" 277
170.18 "medium" 278
172 "medium" 279
175.26 "medium" 280
172 "medium" 281
158 "small" 282
190 "tall" 284
162 "small" 285
168 "small" 286
172.72 "medium" 287
157 "small" 289
185.42 "tall" 290
175 "medium" 291
183 "tall" 292
162 "small" 293
185 "tall" 294
181 "tall" 295
157 "small" 296
162 "small" 297
162.56 "small" 298
193 "tall" 299
162.56 "small" 300
178 "medium" 301
185 "tall" 302
177.8 "medium" 303
164 "small" 304
185 "tall" 306
175.26 "medium" 307
177.8 "medium" 308
178 "medium" 309
185.42 "tall" 310
162 "small" 311
191 "tall" 312
177.8 "medium" 313
149.86 "small" 314
172.72 "medium" 315
168 "small" 316
180 "tall" 318
188 "tall" 319
182 "tall" 320
188 "tall" 321
174 "medium" 322
162.56 "small" 324
186 "tall" 325
179 "tall" 326
175 "medium" 327
165.1 "small" 328
177.8 "medium" 329
175 "medium" 330
190.5 "tall" 332
